name,time,CO2Concentration,Co2Concentration,deviceId,distance,environmentHumidity,environmentPressure,environmentTemperature,internalTemperature,nonContactWaterLevel,potentialOfHydrogen,totalDissolvedSolids,totalOrganicCompounds,waterFlow,waterTemperature
data_yaku,1629354172273000000,,-1,ESP32_473938,22,45.976,88466.945,24.05,53.333,0,6.334,1379.98,-1,0,21.5
data_yaku,1629354231929000000,,-1,ESP32_473938,22,45.976,88463.172,24.05,45,0,6.312,1379.98,-1,0,21.5
data_yaku,1629354292553000000,,-1,ESP32_473938,22,46.026,88460.766,24.05,53.333,0,6.356,1379.98,-1,0,21.438
data_yaku,1629354352188000000,,-1,ESP32_473938,22,46.026,88456.68,24.05,53.333,0,6.312,1379.98,-1,0,21.5
data_yaku,1629354412850000000,,-1,ESP32_473938,22,46.086,88460,24.04,45,0,6.291,1379.98,-1,0,21.5
data_yaku,1629354472467000000,,-1,ESP32_473938,22,46.104,88460.984,24.03,45,0,6.356,1379.98,-1,0,21.5
data_yaku,1629354532121000000,,-1,ESP32_473938,22,46.064,88461.688,24.03,44.444,0,6.356,1379.98,-1,0,21.438
data_yaku,1629354592745000000,,-1,ESP32_473938,22,46.103,88457.766,24.01,45,0,6.312,1379.98,-1,0,21.5
data_yaku,1629354652382000000,,-1,ESP32_473938,22,46.103,88461.539,24.01,53.333,0,6.312,1379.98,-1,0,21.5
data_yaku,1629354712029000000,,-1,ESP32_473938,22,46.082,88458.391,24,44.444,0,6.291,1379.98,-1,0,21.438
data_yaku,1629354772648000000,,-1,ESP32_473938,22,46.082,88462.531,24.01,45,0,6.312,1379.98,-1,0,21.438
data_yaku,1629354832295000000,,-1,ESP32_473938,22,46.041,88454.531,23.99,53.333,0,6.312,1379.98,-1,0,21.5
data_yaku,1629354891936000000,,-1,ESP32_473938,22,46.001,88456.266,23.99,53.333,0,6.312,1379.98,-1,0,21.438
data_yaku,1629354952585000000,,-1,ESP32_473938,22,46.009,88454.391,23.97,45,0,6.356,1379.98,-1,0,21.438
data_yaku,1629355012230000000,,-1,ESP32_473938,22,46.029,88453.117,23.98,45,0,6.334,1379.98,-1,0,21.438
data_yaku,1629355072869000000,,-1,ESP32_473938,22,46.06,88450.711,23.98,44.444,0,6.312,1379.98,-1,0,21.438
data_yaku,1629355132509000000,,-1,ESP32_473938,22,46.117,88445.797,23.96,44.444,0,6.334,1379.98,-1,0,21.438
data_yaku,1629355192129000000,,-1,ESP32_473938,22,46.178,88447.844,23.96,53.333,0,6.312,1379.98,-1,0,21.438
data_yaku,1629355252769000000,,-1,ESP32_473938,22,46.17,88447.578,23.97,53.333,0,6.291,1379.98,-1,0,21.438
data_yaku,1629355312393000000,,-1,ESP32_473938,22,46.118,88450.625,23.97,53.333,0,6.312,1379.98,-1,0,21.438
data_yaku,1629355372050000000,,-1,ESP32_473938,22,46.146,88446.344,23.94,45,0,6.334,1379.98,-1,0,21.438
data_yaku,1629355432670000000,,-1,ESP32_473938,22,46.219,88449.156,23.95,53.333,0,6.334,1379.98,-1,0,21.375
data_yaku,1629355492309000000,,-1,ESP32_473938,22,46.276,88449.391,23.94,45,0,6.312,1379.98,-1,0,21.188
